                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4025,                 1.1243,                 1.3088,                0.54619,                0.45672,                0.46068,                0.26848,                 1.7092,                 1.4023,                 1.3703,               0.006634,               0.006634,               0.006634
                     36,                 1.4085,                  1.145,                 1.3097,                0.57627,                0.45484,                0.46412,                0.27282,                 1.7021,                 1.3977,                 1.3808,               0.006535,               0.006535,               0.006535
                     37,                 1.3801,                 1.1071,                 1.3073,                0.55895,                0.45616,                0.46479,                0.27835,                 1.7031,                 1.3701,                 1.3771,               0.006436,               0.006436,               0.006436
                     38,                 1.3884,                 1.1311,                 1.3121,                0.56749,                 0.4422,                0.46174,                0.27162,                 1.7258,                 1.3252,                  1.405,               0.006337,               0.006337,               0.006337
                     39,                 1.3819,                 1.1062,                  1.297,                0.51955,                0.46156,                0.45442,                0.27191,                 1.6981,                 1.3799,                 1.3751,               0.006238,               0.006238,               0.006238
                     40,                 1.3841,                 1.1036,                 1.3061,                0.52714,                0.44274,                0.44975,                0.26701,                 1.7116,                 1.3828,                 1.3718,               0.006139,               0.006139,               0.006139
                     41,                 1.3845,                 1.1007,                 1.2962,                0.57049,                0.44785,                0.46435,                0.27587,                 1.7136,                 1.3602,                 1.3922,                0.00604,                0.00604,                0.00604
                     42,                 1.3768,                 1.0989,                 1.2939,                0.54902,                0.45941,                 0.4631,                0.27586,                 1.7089,                 1.3593,                 1.3914,               0.005941,               0.005941,               0.005941
                     43,                 1.3694,                  1.088,                 1.2921,                0.55851,                0.45349,                0.46967,                0.27905,                 1.6924,                 1.3362,                 1.3563,               0.005842,               0.005842,               0.005842
                     44,                 1.3642,                 1.0805,                 1.2851,                 0.5488,                0.45709,                0.46765,                0.27938,                 1.6748,                 1.3726,                 1.3486,               0.005743,               0.005743,               0.005743
                     45,                 1.3612,                 1.0849,                 1.2899,                0.55397,                0.47715,                0.47368,                0.28319,                 1.6911,                 1.3148,                 1.3597,               0.005644,               0.005644,               0.005644
                     46,                 1.3445,                 1.0632,                  1.278,                0.55668,                0.47419,                0.47408,                  0.281,                 1.7182,                 1.3093,                 1.3722,               0.005545,               0.005545,               0.005545
