                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                 1.4187,                 1.1382,                 1.3166,                0.58952,                0.44758,                 0.4638,                0.26599,                 1.7181,                 1.3244,                 1.3854,               0.007525,               0.007525,               0.007525
                     27,                 1.4051,                  1.124,                 1.3115,                0.55934,                0.45618,                0.46433,                0.26825,                 1.7118,                 1.3313,                 1.3664,               0.007426,               0.007426,               0.007426
                     28,                 1.4075,                 1.1168,                 1.3085,                 0.5398,                0.42177,                0.44701,                0.26375,                 1.6967,                 1.3578,                 1.3692,               0.007327,               0.007327,               0.007327
                     29,                 1.4151,                 1.1173,                 1.3117,                0.54776,                0.43333,                0.45595,                 0.2662,                 1.7212,                 1.3265,                 1.3855,               0.007228,               0.007228,               0.007228
                     30,                 1.3951,                 1.1139,                 1.3003,                0.55386,                0.43226,                0.46009,                0.26849,                 1.6986,                 1.3137,                   1.37,               0.007129,               0.007129,               0.007129
                     31,                 1.3969,                 1.0968,                 1.2928,                0.55796,                 0.4422,                0.46391,                0.27186,                 1.7297,                 1.3204,                 1.3845,                0.00703,                0.00703,                0.00703
                     32,                 1.3704,                 1.0898,                 1.2949,                0.57238,                0.43629,                0.46797,                0.27798,                 1.6845,                  1.285,                 1.3761,               0.006931,               0.006931,               0.006931
                     33,                  1.377,                 1.0889,                 1.2891,                0.55937,                0.43851,                0.46314,                0.27444,                 1.7007,                 1.2992,                 1.3744,               0.006832,               0.006832,               0.006832
                     34,                 1.3615,                 1.0696,                 1.2877,                0.57201,                0.44012,                0.47029,                0.28012,                  1.684,                 1.2838,                 1.3581,               0.006733,               0.006733,               0.006733
                     35,                 1.3634,                 1.0687,                 1.2808,                0.56409,                0.46649,                0.47036,                0.27616,                 1.7064,                 1.2999,                 1.3636,               0.006634,               0.006634,               0.006634
                     36,                 1.3534,                 1.0605,                 1.2758,                0.58751,                 0.4543,                 0.4822,                0.28545,                 1.6906,                 1.2804,                 1.3625,               0.006535,               0.006535,               0.006535
                     37,                 1.3609,                  1.066,                  1.274,                0.57921,                0.45645,                0.47776,                0.28286,                 1.6947,                 1.2628,                  1.364,               0.006436,               0.006436,               0.006436
                     38,                 1.3434,                 1.0482,                 1.2733,                0.55918,                0.48011,                0.47807,                0.28024,                 1.6844,                 1.2647,                 1.3665,               0.006337,               0.006337,               0.006337
                     39,                 1.3491,                 1.0477,                  1.264,                0.55408,                0.47016,                 0.4766,                0.28016,                 1.6693,                 1.2632,                 1.3486,               0.006238,               0.006238,               0.006238
                     40,                 1.3485,                 1.0537,                 1.2722,                0.53762,                0.47419,                0.47345,                0.28042,                 1.6676,                  1.262,                 1.3488,               0.006139,               0.006139,               0.006139
                     41,                 1.3447,                  1.042,                 1.2714,                0.56745,                0.48548,                0.47842,                0.28218,                 1.6896,                 1.2611,                 1.3539,                0.00604,                0.00604,                0.00604
                     42,                  1.334,                 1.0278,                 1.2533,                 0.5408,                0.46989,                0.47454,                0.28307,                 1.6654,                 1.2912,                  1.343,               0.005941,               0.005941,               0.005941
                     43,                 1.3374,                 1.0317,                 1.2562,                0.57543,                0.48817,                0.48752,                0.29089,                 1.6697,                 1.2496,                 1.3395,               0.005842,               0.005842,               0.005842
                     44,                 1.3258,                 1.0291,                 1.2603,                0.57483,                0.46586,                0.48787,                0.29292,                 1.6726,                 1.2428,                 1.3506,               0.005743,               0.005743,               0.005743
                     45,                 1.3235,                 1.0257,                 1.2576,                0.57343,                0.47823,                0.48724,                0.29008,                 1.6771,                 1.2334,                 1.3582,               0.005644,               0.005644,               0.005644
                     46,                 1.3237,                 1.0179,                 1.2477,                0.55786,                0.49032,                0.48405,                0.28771,                 1.6716,                 1.2434,                 1.3464,               0.005545,               0.005545,               0.005545
                     47,                 1.3292,                 1.0154,                  1.252,                0.56972,                0.48522,                0.48747,                0.29201,                 1.6861,                 1.2305,                 1.3427,               0.005446,               0.005446,               0.005446
                     48,                 1.3091,                 1.0053,                 1.2478,                0.56987,                0.48602,                0.48746,                0.29245,                 1.6563,                 1.2403,                 1.3407,               0.005347,               0.005347,               0.005347
                     49,                 1.3037,                0.99235,                 1.2431,                0.54954,                0.48656,                0.48075,                0.28653,                 1.6698,                 1.2266,                 1.3343,               0.005248,               0.005248,               0.005248
                     50,                 1.3029,                0.99808,                 1.2414,                0.54583,                0.48558,                0.48245,                0.29439,                 1.6641,                 1.2176,                  1.341,               0.005149,               0.005149,               0.005149
                     51,                 1.3089,                0.99569,                 1.2379,                0.55687,                0.47769,                0.48482,                0.29275,                 1.6643,                 1.2191,                 1.3342,                0.00505,                0.00505,                0.00505
                     52,                 1.2869,                0.97519,                 1.2337,                0.56461,                0.49194,                0.48689,                0.29293,                 1.6503,                 1.2093,                 1.3305,               0.004951,               0.004951,               0.004951
                     53,                 1.2932,                0.97979,                 1.2348,                0.55666,                0.49355,                0.48725,                0.29328,                 1.6451,                 1.2187,                 1.3144,               0.004852,               0.004852,               0.004852
                     54,                 1.2846,                0.97221,                 1.2348,                 0.5664,                0.49032,                0.49175,                0.29673,                 1.6583,                 1.2199,                 1.3266,               0.004753,               0.004753,               0.004753
                     55,                 1.2758,                0.97918,                 1.2291,                0.57233,                0.49785,                0.49615,                0.29618,                 1.6666,                 1.2195,                 1.3244,               0.004654,               0.004654,               0.004654
                     56,                 1.2775,                0.95984,                 1.2371,                0.57035,                0.49274,                0.49521,                0.29581,                 1.6744,                 1.2091,                 1.3399,               0.004555,               0.004555,               0.004555
                     57,                 1.2718,                 0.9645,                 1.2191,                0.56956,                0.49372,                0.49239,                0.29492,                 1.6669,                 1.2154,                 1.3325,               0.004456,               0.004456,               0.004456
                     58,                 1.2731,                0.96823,                 1.2289,                0.56941,                0.49489,                0.49085,                0.29464,                 1.6579,                 1.2067,                 1.3288,               0.004357,               0.004357,               0.004357
                     59,                 1.2824,                0.96793,                 1.2224,                0.57859,                0.49516,                0.49442,                0.30037,                 1.6524,                 1.2008,                 1.3298,               0.004258,               0.004258,               0.004258
                     60,                 1.2637,                0.95476,                 1.2214,                0.57254,                 0.5043,                0.49649,                0.29942,                 1.6673,                  1.216,                 1.3341,               0.004159,               0.004159,               0.004159
                     61,                   1.27,                0.95453,                 1.2216,                0.56906,                0.50797,                0.49607,                0.30001,                 1.6568,                 1.1999,                 1.3287,                0.00406,                0.00406,                0.00406
                     62,                 1.2616,                 0.9339,                 1.2124,                0.56428,                0.51183,                 0.4947,                0.29937,                 1.6532,                 1.1983,                 1.3267,               0.003961,               0.003961,               0.003961
                     63,                 1.2551,                0.93415,                 1.2154,                0.57591,                0.50778,                 0.5005,                0.30192,                 1.6523,                 1.1901,                 1.3249,               0.003862,               0.003862,               0.003862
                     64,                 1.2532,                0.93456,                 1.2154,                0.57591,                0.50887,                0.49823,                0.30186,                 1.6469,                 1.1963,                  1.318,               0.003763,               0.003763,               0.003763
                     65,                 1.2432,                0.91782,                 1.1994,                0.56542,                0.51483,                0.49703,                0.30123,                  1.649,                  1.195,                 1.3245,               0.003664,               0.003664,               0.003664
                     66,                 1.2401,                0.93402,                 1.2048,                0.56145,                0.51747,                0.49574,                0.30089,                 1.6442,                 1.1881,                 1.3255,               0.003565,               0.003565,               0.003565
                     67,                 1.2239,                0.90802,                 1.1991,                0.56656,                0.51344,                  0.496,                0.30085,                 1.6471,                  1.189,                   1.33,               0.003466,               0.003466,               0.003466
                     68,                 1.2446,                0.92136,                 1.2006,                0.57197,                0.51656,                0.49902,                  0.302,                 1.6487,                 1.1847,                 1.3303,               0.003367,               0.003367,               0.003367
                     69,                 1.2345,                0.91203,                 1.2069,                0.58338,                0.51075,                0.50023,                0.30216,                 1.6495,                 1.1821,                 1.3282,               0.003268,               0.003268,               0.003268
                     70,                 1.2302,                 0.9165,                 1.2051,                0.58285,                0.50753,                0.50229,                0.30424,                 1.6464,                  1.175,                 1.3252,               0.003169,               0.003169,               0.003169
                     71,                 1.2261,                0.91332,                 1.1939,                0.58203,                0.50573,                0.50183,                0.30403,                 1.6493,                 1.1711,                 1.3296,                0.00307,                0.00307,                0.00307
                     72,                 1.2264,                0.90091,                 1.1944,                0.58138,                0.50269,                0.50262,                0.30408,                 1.6486,                 1.1719,                 1.3318,               0.002971,               0.002971,               0.002971
                     73,                 1.2187,                 0.8983,                 1.1925,                0.57551,                0.50732,                0.50169,                 0.3041,                 1.6432,                 1.1735,                 1.3309,               0.002872,               0.002872,               0.002872
                     74,                 1.2047,                0.89082,                 1.1903,                 0.5776,                0.51129,                0.50241,                0.30498,                 1.6399,                 1.1684,                 1.3302,               0.002773,               0.002773,               0.002773
                     75,                 1.2272,                0.89512,                 1.1966,                 0.5774,                0.51199,                0.50292,                0.30456,                 1.6414,                 1.1681,                 1.3327,               0.002674,               0.002674,               0.002674
                     76,                 1.2118,                0.88454,                 1.1828,                0.57883,                0.51237,                0.50228,                0.30519,                 1.6389,                 1.1717,                 1.3319,               0.002575,               0.002575,               0.002575
                     77,                 1.1971,                0.87008,                 1.1818,                0.58225,                0.51048,                0.50535,                0.30669,                 1.6392,                 1.1711,                 1.3295,               0.002476,               0.002476,               0.002476
                     78,                 1.2074,                0.88441,                  1.182,                0.58074,                 0.5086,                0.50565,                0.30709,                 1.6395,                 1.1715,                 1.3293,               0.002377,               0.002377,               0.002377
                     79,                 1.1866,                0.86484,                 1.1767,                0.57878,                0.50806,                 0.5056,                0.30778,                  1.642,                 1.1742,                   1.33,               0.002278,               0.002278,               0.002278
                     80,                 1.1921,                0.86972,                 1.1762,                0.57871,                0.50968,                0.50659,                0.30798,                 1.6398,                 1.1729,                 1.3279,               0.002179,               0.002179,               0.002179
                     81,                 1.1837,                0.86847,                 1.1735,                0.58231,                0.50887,                0.50546,                0.30685,                 1.6409,                 1.1748,                 1.3305,                0.00208,                0.00208,                0.00208
                     82,                 1.1688,                0.85092,                 1.1707,                0.57899,                0.50941,                0.50482,                0.30669,                 1.6434,                 1.1769,                 1.3332,               0.001981,               0.001981,               0.001981
                     83,                 1.1779,                0.86218,                  1.175,                0.57597,                0.51485,                 0.5052,                0.30706,                 1.6453,                 1.1751,                 1.3338,               0.001882,               0.001882,               0.001882
                     84,                 1.1827,                0.85725,                 1.1653,                0.57405,                0.51801,                0.50513,                0.30689,                 1.6454,                 1.1758,                 1.3366,               0.001783,               0.001783,               0.001783
                     85,                 1.1781,                0.85699,                 1.1684,                0.57552,                0.51683,                0.50474,                0.30672,                 1.6452,                 1.1749,                 1.3381,               0.001684,               0.001684,               0.001684
                     86,                 1.1668,                0.84573,                 1.1648,                0.57305,                0.52204,                0.50559,                 0.3078,                 1.6417,                 1.1733,                 1.3375,               0.001585,               0.001585,               0.001585
                     87,                  1.161,                0.83701,                 1.1642,                 0.5725,                0.52339,                0.50615,                 0.3074,                 1.6414,                 1.1714,                 1.3378,               0.001486,               0.001486,               0.001486
                     88,                 1.1488,                0.82609,                 1.1599,                0.57455,                0.52392,                0.50636,                0.30769,                 1.6432,                 1.1703,                 1.3381,               0.001387,               0.001387,               0.001387
                     89,                 1.1392,                0.82542,                 1.1536,                0.57112,                0.52473,                0.50717,                0.30724,                 1.6452,                 1.1699,                  1.338,               0.001288,               0.001288,               0.001288
                     90,                 1.1531,                0.83358,                 1.1594,                0.57451,                0.52554,                0.50853,                0.30743,                 1.6447,                 1.1679,                 1.3378,               0.001189,               0.001189,               0.001189
                     91,                 1.1289,                0.77617,                 1.1249,                0.57394,                0.52285,                 0.5084,                0.30768,                 1.6457,                 1.1669,                  1.338,                0.00109,                0.00109,                0.00109
                     92,                 1.1136,                0.75479,                  1.118,                0.57167,                0.52177,                0.50785,                0.30828,                 1.6444,                 1.1655,                 1.3377,               0.000991,               0.000991,               0.000991
                     93,                 1.1124,                0.75148,                  1.115,                0.57385,                0.51989,                0.50739,                0.30764,                 1.6447,                 1.1648,                 1.3366,               0.000892,               0.000892,               0.000892
                     94,                  1.104,                0.75125,                 1.1104,                0.57692,                0.51855,                0.50812,                0.30812,                 1.6445,                 1.1631,                 1.3358,               0.000793,               0.000793,               0.000793
                     95,                 1.0922,                0.73739,                 1.1079,                0.57334,                0.51882,                 0.5082,                0.30815,                 1.6425,                 1.1617,                 1.3347,               0.000694,               0.000694,               0.000694
                     96,                 1.0901,                0.73423,                 1.1079,                0.57247,                0.52013,                0.50828,                0.30846,                 1.6431,                 1.1622,                 1.3346,               0.000595,               0.000595,               0.000595
                     97,                 1.0806,                0.72747,                 1.0987,                0.57111,                0.52043,                0.50855,                0.30915,                  1.644,                 1.1616,                 1.3347,               0.000496,               0.000496,               0.000496
                     98,                 1.0795,                0.72703,                 1.0985,                0.57101,                 0.5207,                0.50841,                0.30879,                 1.6451,                 1.1611,                 1.3346,               0.000397,               0.000397,               0.000397
                     99,                 1.0701,                0.71852,                 1.0947,                 0.5726,                0.51989,                0.50808,                0.30904,                 1.6467,                 1.1599,                 1.3354,               0.000298,               0.000298,               0.000298
                    100,                 1.0714,                0.71425,                 1.0938,                0.57516,                0.52005,                0.50897,                0.30923,                 1.6482,                 1.1599,                  1.336,               0.000199,               0.000199,               0.000199
