                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.701,                 2.7177,                 1.4892,                0.42585,                0.33683,                0.30928,                0.14622,                 2.0434,                 2.2828,                 1.5742,              0.0033278,              0.0033278,              0.0033278
                      2,                 1.6567,                 1.8536,                 1.4648,                0.43159,                 0.2922,                0.28082,                0.13857,                 2.1083,                 2.1676,                   1.67,              0.0065952,              0.0065952,              0.0065952
                      3,                 1.7483,                 1.7615,                 1.5439,                0.34192,                0.32903,                0.27988,                0.13709,                 2.1105,                 2.0439,                 1.6535,              0.0097966,              0.0097966,              0.0097966
                      4,                 1.8274,                 1.7535,                 1.5905,                 0.3306,                0.28978,                0.24019,                0.11608,                 2.0803,                 2.2058,                 1.7355,               0.009703,               0.009703,               0.009703
                      5,                 1.7564,                 1.6557,                 1.5593,                0.45605,                0.32477,                0.32312,                0.15856,                 2.1015,                  2.015,                 1.6683,               0.009604,               0.009604,               0.009604
                      6,                 1.7069,                 1.5681,                 1.5217,                0.48636,                0.37903,                0.36236,                0.18838,                 1.8775,                 1.6955,                 1.5468,               0.009505,               0.009505,               0.009505
                      7,                 1.6661,                 1.4856,                 1.4914,                0.48648,                 0.3662,                0.36456,                0.18425,                 1.9519,                 1.6767,                 1.5928,               0.009406,               0.009406,               0.009406
                      8,                 1.6321,                 1.4476,                 1.4647,                0.50866,                0.35403,                0.36539,                0.19307,                 1.8981,                 1.6153,                 1.5252,               0.009307,               0.009307,               0.009307
                      9,                 1.6005,                 1.3934,                 1.4533,                0.45812,                0.36317,                0.36532,                0.19508,                 1.8948,                 1.6275,                 1.4992,               0.009208,               0.009208,               0.009208
                     10,                  1.597,                 1.3823,                 1.4487,                0.48632,                0.37946,                0.38755,                0.20829,                 1.8599,                 1.5799,                 1.4958,               0.009109,               0.009109,               0.009109
                     11,                 1.5658,                 1.3338,                 1.4205,                0.52983,                0.38683,                0.39949,                 0.2191,                 1.8522,                 1.5116,                 1.4891,                0.00901,                0.00901,                0.00901
                     12,                  1.544,                 1.3179,                  1.404,                0.51322,                0.37177,                0.39226,                 0.2174,                 1.8247,                 1.5431,                 1.4967,               0.008911,               0.008911,               0.008911
                     13,                 1.5346,                 1.2994,                 1.3988,                0.51014,                0.40323,                0.40604,                0.22256,                 1.8324,                 1.4743,                 1.4961,               0.008812,               0.008812,               0.008812
                     14,                  1.516,                 1.2784,                 1.3869,                0.55458,                0.41469,                0.42437,                0.23182,                 1.8296,                 1.4653,                  1.456,               0.008713,               0.008713,               0.008713
                     15,                 1.5076,                 1.2614,                   1.38,                0.54884,                0.39758,                0.41459,                0.23464,                 1.7731,                 1.4889,                 1.4284,               0.008614,               0.008614,               0.008614
                     16,                 1.4927,                 1.2412,                 1.3696,                0.50914,                0.41505,                0.39923,                0.22582,                 1.7901,                 1.4429,                 1.4348,               0.008515,               0.008515,               0.008515
                     17,                 1.4916,                 1.2422,                 1.3693,                 0.5293,                0.42903,                0.42516,                0.23408,                 1.8129,                 1.4372,                 1.4464,               0.008416,               0.008416,               0.008416
                     18,                 1.4705,                 1.2138,                 1.3617,                0.52928,                0.39785,                0.41477,                0.23071,                  1.816,                 1.4441,                 1.4891,               0.008317,               0.008317,               0.008317
                     19,                 1.4685,                 1.1947,                  1.345,                0.56462,                0.44516,                0.44304,                0.25153,                 1.7574,                 1.3962,                 1.4252,               0.008218,               0.008218,               0.008218
                     20,                 1.4473,                 1.1876,                 1.3429,                0.56588,                0.42957,                0.44214,                0.24966,                 1.7366,                 1.3626,                 1.4278,               0.008119,               0.008119,               0.008119
                     21,                 1.4568,                 1.1839,                 1.3433,                0.56876,                0.41127,                0.44847,                0.25343,                 1.7427,                 1.3708,                 1.3985,                0.00802,                0.00802,                0.00802
                     22,                 1.4443,                 1.1767,                 1.3301,                 0.5353,                0.45303,                0.45162,                0.25929,                 1.7421,                 1.3412,                 1.4028,               0.007921,               0.007921,               0.007921
                     23,                 1.4387,                 1.1681,                 1.3332,                0.56714,                0.42151,                0.45111,                0.25956,                 1.7118,                 1.3678,                 1.3754,               0.007822,               0.007822,               0.007822
                     24,                 1.4221,                 1.1431,                 1.3182,                0.55485,                  0.425,                  0.448,                0.25976,                  1.739,                 1.3631,                 1.3949,               0.007723,               0.007723,               0.007723
                     25,                 1.4384,                  1.166,                 1.3284,                0.53488,                0.45726,                0.45324,                0.25789,                 1.7489,                 1.3272,                 1.3973,               0.007624,               0.007624,               0.007624
