                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7069,                 2.6995,                 1.5162,                 0.4249,                0.33226,                 0.3062,                0.15612,                  2.032,                 2.4611,                 1.5865,              0.0033299,              0.0033299,              0.0033299
                      2,                 1.7006,                 1.9043,                 1.5039,                0.41883,                0.32715,                0.29828,                0.15074,                 2.0291,                 2.0372,                 1.6177,              0.0066193,              0.0066193,              0.0066193
                      3,                 1.7689,                 1.7929,                 1.5572,                0.34331,                0.26075,                0.23489,                0.10115,                 2.2849,                 2.5173,                 1.8825,              0.0098646,              0.0098646,              0.0098646
                      4,                 1.8232,                 1.8124,                 1.6125,                0.40376,                0.29812,                0.27972,                0.13189,                 2.1204,                 2.0882,                 1.8654,               0.009802,               0.009802,               0.009802
                      5,                 1.7712,                 1.6626,                 1.5675,                0.42773,                0.32871,                0.31945,                0.16442,                 1.9755,                 2.2016,                 1.6119,               0.009736,               0.009736,               0.009736
                      6,                 1.7178,                  1.594,                 1.5331,                0.50196,                0.32392,                0.34597,                   0.18,                 1.9598,                 1.7692,                 1.5794,                0.00967,                0.00967,                0.00967
                      7,                 1.6847,                 1.5326,                 1.5135,                0.48394,                0.35672,                0.36392,                  0.195,                  1.925,                 1.7282,                 1.5815,               0.009604,               0.009604,               0.009604
                      8,                 1.6568,                 1.4852,                 1.4916,                0.42462,                0.36022,                 0.3343,                0.18342,                  1.911,                 1.7956,                 1.5529,               0.009538,               0.009538,               0.009538
                      9,                 1.6278,                 1.4615,                 1.4743,                0.48334,                0.32919,                0.35635,                0.19227,                 1.8965,                 1.7474,                 1.5529,               0.009472,               0.009472,               0.009472
                     10,                 1.6157,                 1.4258,                 1.4625,                0.47958,                0.34489,                0.36615,                0.19083,                  1.928,                 1.7986,                 1.5455,               0.009406,               0.009406,               0.009406
                     11,                 1.5927,                  1.404,                 1.4444,                 0.5245,                0.37043,                0.38214,                0.21493,                 1.8417,                 1.6593,                  1.513,                0.00934,                0.00934,                0.00934
                     12,                 1.5649,                 1.3596,                 1.4314,                0.50728,                0.38952,                0.39173,                0.21402,                  1.845,                  1.612,                 1.5127,               0.009274,               0.009274,               0.009274
                     13,                  1.573,                 1.3543,                 1.4275,                0.54173,                0.38226,                0.40424,                0.22149,                  1.878,                 1.5888,                 1.5194,               0.009208,               0.009208,               0.009208
