                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7238,                 2.7229,                 1.5244,                0.42121,                0.30576,                0.28801,                0.14279,                 2.0572,                 2.5238,                 1.5345,              0.0033306,              0.0033306,              0.0033306
                      2,                  1.702,                  1.916,                 1.5032,                0.45674,                 0.3164,                0.30126,                0.14176,                 2.1529,                 2.0275,                 1.7062,              0.0065979,              0.0065979,              0.0065979
                      3,                 1.7936,                 1.8235,                 1.5729,                0.34751,                0.26022,                0.24285,                0.11546,                 2.2103,                 2.1592,                 1.8139,              0.0097993,              0.0097993,              0.0097993
                      4,                 1.8399,                  1.828,                 1.6097,                 0.3839,                0.26371,                0.25928,                0.12494,                 2.1869,                 2.1666,                 1.7649,               0.009703,               0.009703,               0.009703
                      5,                 1.7776,                 1.6913,                 1.5683,                0.43506,                0.35242,                0.33837,                0.17305,                  2.015,                 1.8662,                 1.5845,               0.009604,               0.009604,               0.009604
                      6,                 1.7452,                 1.6644,                 1.5518,                0.41023,                0.33713,                0.32236,                0.17226,                 1.9787,                  1.803,                 1.6099,               0.009505,               0.009505,               0.009505
                      7,                 1.6887,                 1.5461,                 1.5096,                0.50176,                0.35968,                0.36332,                 0.1896,                 1.9499,                 1.7433,                 1.5552,               0.009406,               0.009406,               0.009406
                      8,                 1.6595,                 1.5109,                 1.4993,                0.47528,                0.36075,                0.35588,                0.18335,                 1.9661,                 1.6929,                  1.601,               0.009307,               0.009307,               0.009307
                      9,                 1.6309,                 1.4623,                 1.4802,                0.41802,                0.37581,                 0.3532,                 0.1837,                 1.9763,                 1.7544,                 1.6108,               0.009208,               0.009208,               0.009208
                     10,                 1.6156,                 1.4513,                 1.4621,                0.53216,                 0.3578,                0.38395,                0.21166,                 1.9128,                 1.5992,                 1.5124,               0.009109,               0.009109,               0.009109
                     11,                 1.5882,                 1.3942,                 1.4455,                0.49255,                0.34543,                 0.3817,                0.21532,                 1.8566,                 1.6282,                 1.4711,                0.00901,                0.00901,                0.00901
                     12,                 1.5789,                 1.3711,                  1.429,                0.51902,                0.38656,                0.39476,                0.21729,                 1.8519,                 1.6121,                 1.5044,               0.008911,               0.008911,               0.008911
                     13,                 1.5672,                 1.3654,                 1.4213,                0.51313,                0.37151,                0.39416,                0.21551,                 1.8743,                 1.5905,                 1.4927,               0.008812,               0.008812,               0.008812
                     14,                 1.5527,                  1.342,                 1.4155,                0.52225,                0.36497,                0.40003,                0.22128,                 1.8834,                 1.6279,                 1.5027,               0.008713,               0.008713,               0.008713
                     15,                 1.5369,                 1.3229,                 1.4086,                0.51102,                0.36801,                0.39563,                0.22036,                 1.8427,                 1.5879,                 1.4652,               0.008614,               0.008614,               0.008614
                     16,                 1.5177,                 1.2952,                 1.4065,                0.54058,                0.40027,                0.41797,                0.23041,                 1.8356,                 1.5642,                 1.4761,               0.008515,               0.008515,               0.008515
                     17,                 1.5154,                  1.285,                 1.3915,                0.55149,                0.41828,                0.42713,                0.23505,                 1.8487,                 1.5214,                 1.5055,               0.008416,               0.008416,               0.008416
                     18,                 1.4949,                 1.2695,                 1.3803,                0.51679,                0.39382,                0.40876,                0.22459,                 1.8499,                 1.5284,                 1.4879,               0.008317,               0.008317,               0.008317
                     19,                 1.4761,                   1.24,                 1.3753,                0.53968,                0.40591,                0.41735,                0.23535,                 1.8012,                 1.5279,                 1.4647,               0.008218,               0.008218,               0.008218
                     20,                  1.474,                 1.2452,                 1.3746,                0.55945,                0.39496,                0.42638,                0.24172,                 1.8436,                 1.5578,                 1.4717,               0.008119,               0.008119,               0.008119
                     21,                 1.4758,                 1.2525,                  1.371,                0.55317,                0.39489,                0.42447,                0.24486,                  1.797,                 1.4867,                   1.45,                0.00802,                0.00802,                0.00802
                     22,                 1.4609,                  1.216,                 1.3595,                0.53711,                0.40484,                0.42937,                0.24239,                 1.8148,                 1.4923,                 1.4445,               0.007921,               0.007921,               0.007921
                     23,                 1.4485,                 1.2075,                 1.3512,                0.53132,                 0.4078,                0.42834,                0.24439,                 1.7865,                 1.4662,                 1.4482,               0.007822,               0.007822,               0.007822
                     24,                 1.4529,                 1.1975,                 1.3475,                0.56037,                0.42865,                0.44323,                0.25323,                 1.7887,                 1.5051,                 1.4472,               0.007723,               0.007723,               0.007723
                     25,                  1.452,                  1.203,                 1.3527,                0.53824,                0.42124,                0.43974,                0.25267,                 1.7824,                 1.4998,                 1.4535,               0.007624,               0.007624,               0.007624
                     26,                 1.4487,                 1.1913,                  1.345,                0.54476,                0.41774,                0.44455,                0.25744,                  1.764,                 1.4513,                 1.4283,               0.007525,               0.007525,               0.007525
